date,business_id,revenue_booked,cash_collected,receivables_outstanding,revenue_7d_avg,revenue_30d_avg,revenue_7d_std,revenue_30d_std,collections_7d_avg,collections_30d_avg,collection_ratio_30d,receivables_change_7d,receivables_change_30d,receivables_to_revenue_30d,day_of_week,month,is_weekend
2019-03-22,U001,2579635.39,2893678.3,45485380.599999994,2512010.717142857,2749587.4699999997,756289.449152177,797490.0214212005,2814696.701428571,2533479.545,0.9214035096690341,-2118801.8900000453,6483237.74999997,0.5514206657820321,4,3,0
2019-03-23,U001,1562341.6,241952.35,46805769.849999994,2468492.095714286,2695720.014,806678.5515777885,821738.5051540489,2849261.3228571424,2430020.787,0.901436638219061,-2665384.5900000334,7970976.809999973,0.5787664595101133,5,3,1
2019-03-24,U001,1133337.7,0.0,47939107.54999998,2472585.1885714284,2653519.1300000004,798637.8788973778,868652.449345868,2849261.3228571424,2302726.1866666665,0.8678008613665681,-2636732.940000057,10523788.299999967,0.6022079259201217,6,3,1
2019-03-25,U001,2701473.25,4679458.11,45961122.68999997,2422857.7614285713,2680044.908666667,766932.0716882831,857102.430783153,2694852.6114285714,2458614.3736666664,0.9173780505379058,-1903963.9500000775,6642916.049999952,0.5716461757956861,0,3,0
2019-03-26,U001,2862729.16,4857272.78,43966579.06999996,2418018.788571429,2746746.9473333335,763544.1679019538,785592.6123244027,2733236.632857143,2620523.466333333,0.9540461923066689,-2206524.910000086,3786704.4299999475,0.5335593936272471,1,3,0
2019-03-27,U001,4147612.87,2383139.08,45731052.859999955,2593039.5157142854,2788844.5933333337,1001715.1370752946,826036.4297123395,2597803.5242857146,2569399.213333333,0.9213131558048879,-33348.06000009179,6583361.399999931,0.5465949706594019,2,3,0
2019-03-28,U001,3247271.57,3174678.82,45803645.609999955,2604914.5057142857,2785825.9973333334,1010071.6493403792,824124.33937122,2604311.3485714286,2555131.9310000003,0.9171900662302098,4222.099999934435,6920821.98999995,0.5480558327984162,3,3,0
2019-03-29,U001,3897754.37,4810321.08,44891078.89999995,2793217.217142857,2815413.962,1121313.1382359036,848041.6060531541,2878117.46,2654907.892666667,0.9429902417549589,-594301.7000000477,4815182.079999939,0.5314917510758104,4,3,0
2019-03-30,U001,2052113.24,46673.02,46896519.119999945,2863184.5942857144,2776368.1766666668,1044347.5799826015,855538.3413654219,2850220.4128571427,2560735.624,0.9223328683569781,90749.26999995112,6468976.579999924,0.5630439496957538,5,3,1
2019-03-31,U001,1707400.25,0.0,48603919.369999945,2945193.5300000003,2731851.9436666667,898179.6517549809,875699.5020720778,2850220.4128571427,2434839.757333333,0.8912780807825601,664811.819999963,8910365.589999914,0.5930521415784122,6,3,1
2019-04-01,U001,2445873.08,4864366.55,46185425.89999995,2908679.2199999997,2743113.4656666666,914781.2483522756,869551.2345903947,2876635.904285714,2596985.309,0.9467290877699247,224303.20999997854,4383844.6999999285,0.561228770131283,0,4,0
